Airline,Airline_ID,Source_Airport,Source_Airport_ID,Destination_Airport,Destination_Airport_ID,Codeshare,Stops,Equipment,IATA_Source,Latitude_Source,Longitude_Source,IATA_Destination,Latitude_Destination,Longitude_Destination,Airport_Name,IATA_x,Latitude,Longitude,IATA_y,ISO_Country_Source,Scheduled_Service_Source,IATA,ISO_Country_Destination,Scheduled_Service_Destination
NZ,345,SYD,3361,CHC,2009,,0,320,SYD,-33.94609832763672,151.177001953125,CHC,-43.48939895629883,172.53199768066406,Sydney Kingsford Smith International Airport,SYD,-33.94609832763672,151.177001953125,SYD,AU,yes,CHC,NZ,yes
NZ,345,SYD,3361,WLG,2042,,0,320,SYD,-33.94609832763672,151.177001953125,WLG,-41.3272018433,174.804992676,Sydney Kingsford Smith International Airport,SYD,-33.94609832763672,151.177001953125,SYD,AU,yes,WLG,NZ,yes
NZ,345,TBU,1963,AKL,2006,,0,320 763,TBU,-21.241199493408203,-175.14999389648438,AKL,-37.01199,174.786331,Fua'amotu International Airport,TBU,-21.241199493408203,-175.14999389648438,TBU,TO,yes,AKL,NZ,yes
NZ,345,TIU,2035,WLG,2042,Y,0,BEH,TIU,-44.302799224853516,171.22500610351562,WLG,-41.3272018433,174.804992676,Timaru Airport,TIU,-44.302799224853516,171.22500610351562,TIU,NZ,yes,WLG,NZ,yes
NZ,345,TRG,2034,AKL,2006,Y,0,DH3 BEH AT7,TRG,-37.67190170288086,176.1959991455078,AKL,-37.01199,174.786331,Tauranga Airport,TRG,-37.67190170288086,176.1959991455078,TRG,NZ,yes,AKL,NZ,yes
NZ,345,TRG,2034,CHC,2009,Y,0,DH3,TRG,-37.67190170288086,176.1959991455078,CHC,-43.48939895629883,172.53199768066406,Tauranga Airport,TRG,-37.67190170288086,176.1959991455078,TRG,NZ,yes,CHC,NZ,yes
NZ,345,TRG,2034,WLG,2042,Y,0,DH3,TRG,-37.67190170288086,176.1959991455078,WLG,-41.3272018433,174.804992676,Tauranga Airport,TRG,-37.67190170288086,176.1959991455078,TRG,NZ,yes,WLG,NZ,yes
NZ,345,TUO,2007,AKL,2006,Y,0,BEH,TUO,-38.73970031738281,176.08399963378906,AKL,-37.01199,174.786331,Taupo Airport,TUO,-38.73970031738281,176.08399963378906,TUO,NZ,yes,AKL,NZ,yes
NZ,345,TUO,2007,WLG,2042,Y,0,BEH,TUO,-38.73970031738281,176.08399963378906,WLG,-41.3272018433,174.804992676,Taupo Airport,TUO,-38.73970031738281,176.08399963378906,TUO,NZ,yes,WLG,NZ,yes
NZ,345,VLI,1997,AKL,2006,,0,320,VLI,-17.699301,168.320007,AKL,-37.01199,174.786331,Bauerfield International Airport,VLI,-17.699301,168.320007,VLI,VU,yes,AKL,NZ,yes
NZ,345,WAG,2047,AKL,2006,Y,0,BEH,WAG,-39.96220016479492,175.02499389648438,AKL,-37.01199,174.786331,Wanganui Airport,WAG,-39.96220016479492,175.02499389648438,WAG,NZ,yes,AKL,NZ,yes
